date;time(local time);altitude (m);longitude;latitude
2017-11-01;10:04:22.-1;201.10000610;77.07492828;28.48649406
2017-11-01;10:04:23.-1;201.10000610;77.07492828;28.48649406
2017-11-01;10:04:24.-1;201.10000610;77.07492828;28.48649406
2017-11-01;10:04:25.-1;201.10000610;77.07492828;28.48649406
2017-11-01;10:04:26.-1;201.10000610;77.07492828;28.48649406
2017-11-01;10:04:27.-1;201.10000610;77.07492828;28.48649406
2017-11-01;10:04:28.-1;201.19999695;77.07492828;28.48649406
2017-11-01;10:04:29.-1;201.19999695;77.07492828;28.48649406
2017-11-01;10:04:30.-1;201.19999695;77.07492828;28.48649979
2017-11-01;10:04:31.-1;201.19999695;77.07492828;28.48649979
2017-11-01;10:04:32.-1;201.19999695;77.07492828;28.48649979
2017-11-01;10:04:33.-1;201.19999695;77.07492828;28.48649979
2017-11-01;10:04:34.-1;201.19999695;77.07492828;28.48650360
2017-11-01;10:04:35.-1;201.19999695;77.07492828;28.48650360
2017-11-01;10:04:36.-1;201.19999695;77.07492828;28.48650360
2017-11-01;10:04:37.-1;201.19999695;77.07492828;28.48650360
2017-11-01;10:04:38.-1;201.19999695;77.07492828;28.48650360
2017-11-01;10:04:39.-1;201.19999695;77.07492828;28.48650360
2017-11-01;10:04:40.-1;201.19999695;77.07492828;28.48650360
2017-11-01;10:04:41.-1;201.19999695;77.07492828;28.48650360
2017-11-01;10:04:42.-1;201.19999695;77.07492828;28.48650360
2017-11-01;10:04:43.-1;201.19999695;77.07492828;28.48650360
2017-11-01;10:04:44.-1;201.19999695;77.07492828;28.48650360
2017-11-01;10:04:45.-1;201.19999695;77.07492828;28.48650360
2017-11-01;10:04:46.-1;201.19999695;77.07492065;28.48650360
2017-11-01;10:04:47.-1;201.19999695;77.07492065;28.48650360
2017-11-01;10:04:48.-1;201.19999695;77.07492065;28.48650360
2017-11-01;10:04:49.-1;201.19999695;77.07492065;28.48650742
2017-11-01;10:04:50.-1;201.19999695;77.07492065;28.48650742
2017-11-01;10:04:51.-1;201.19999695;77.07492065;28.48650742
2017-11-01;10:04:52.-1;201.19999695;77.07492065;28.48650360
2017-11-01;10:04:53.-1;201.19999695;77.07492065;28.48650360
2017-11-01;10:04:54.-1;201.19999695;77.07492065;28.48650360
2017-11-01;10:04:55.-1;201.19999695;77.07492065;28.48650360
2017-11-01;10:04:56.-1;201.19999695;77.07492065;28.48650360
2017-11-01;10:04:57.-1;201.19999695;77.07492065;28.48650360
2017-11-01;10:04:58.-1;201.19999695;77.07492065;28.48650360
2017-11-01;10:04:59.-1;201.19999695;77.07492065;28.48650742
2017-11-01;10:05:00.-1;201.19999695;77.07492065;28.48650742
2017-11-01;10:05:01.-1;201.19999695;77.07491302;28.48650742
2017-11-01;10:05:02.-1;201.19999695;77.07491302;28.48650742
2017-11-01;10:05:03.-1;201.30000305;77.07491302;28.48650742
2017-11-01;10:05:04.-1;201.30000305;77.07491302;28.48650742
2017-11-01;10:05:05.-1;201.30000305;77.07491302;28.48650742
2017-11-01;10:05:06.-1;201.30000305;77.07491302;28.48650742
2017-11-01;10:05:07.-1;201.30000305;77.07491302;28.48650742
2017-11-01;10:05:08.-1;201.30000305;77.07491302;28.48650360
2017-11-01;10:05:09.-1;201.30000305;77.07491302;28.48650360
2017-11-01;10:05:10.-1;201.30000305;77.07491302;28.48650360
2017-11-01;10:05:11.-1;201.30000305;77.07491302;28.48650360
2017-11-01;10:05:12.-1;201.30000305;77.07491302;28.48650360
2017-11-01;10:05:13.-1;201.30000305;77.07491302;28.48650360
2017-11-01;10:05:14.-1;201.30000305;77.07491302;28.48650360
2017-11-01;10:05:15.-1;201.30000305;77.07491302;28.48650360
2017-11-01;10:05:16.-1;201.30000305;77.07491302;28.48649979
2017-11-01;10:05:17.-1;201.30000305;77.07491302;28.48649979
2017-11-01;10:05:18.-1;201.30000305;77.07491302;28.48649979
2017-11-01;10:05:19.-1;201.30000305;77.07491302;28.48649406
2017-11-01;10:05:20.-1;201.30000305;77.07491302;28.48649406
2017-11-01;10:05:21.-1;201.30000305;77.07491302;28.48649406
2017-11-01;10:05:22.-1;201.30000305;77.07491302;28.48649025
2017-11-01;10:05:23.-1;201.30000305;77.07490540;28.48648643
2017-11-01;10:05:24.-1;201.30000305;77.07490540;28.48648643
2017-11-01;10:05:25.-1;201.30000305;77.07490540;28.48648643
2017-11-01;10:05:26.-1;201.30000305;77.07490540;28.48648262
2017-11-01;10:05:27.-1;201.30000305;77.07490540;28.48648262
2017-11-01;10:05:28.-1;201.30000305;77.07489777;28.48648262
2017-11-01;10:05:29.-1;201.30000305;77.07489777;28.48648262
2017-11-01;10:05:30.-1;201.30000305;77.07489777;28.48647881
2017-11-01;10:05:31.-1;201.30000305;77.07488251;28.48647881
2017-11-01;10:05:32.-1;201.30000305;77.07488251;28.48647881
2017-11-01;10:05:33.-1;201.30000305;77.07488251;28.48647881
2017-11-01;10:05:34.-1;201.30000305;77.07488251;28.48648262
2017-11-01;10:05:35.-1;201.39999390;77.07488251;28.48648643
2017-11-01;10:05:36.-1;201.39999390;77.07488251;28.48649025
2017-11-01;10:05:37.-1;201.39999390;77.07487488;28.48649406
2017-11-01;10:05:38.-1;201.39999390;77.07487488;28.48649406
2017-11-01;10:05:39.-1;201.50000000;77.07487488;28.48649406
2017-11-01;10:05:40.-1;201.50000000;77.07487488;28.48649979
2017-11-01;10:05:41.-1;201.50000000;77.07488251;28.48649979
2017-11-01;10:05:42.-1;201.60000610;77.07488251;28.48649979
2017-11-01;10:05:43.-1;201.60000610;77.07488251;28.48649979
2017-11-01;10:05:44.-1;201.60000610;77.07488251;28.48649406
2017-11-01;10:05:45.-1;201.60000610;77.07488251;28.48649406
2017-11-01;10:05:46.-1;201.60000610;77.07487488;28.48649406
2017-11-01;10:05:47.-1;201.60000610;77.07487488;28.48649406
2017-11-01;10:05:48.-1;201.60000610;77.07487488;28.48649025
2017-11-01;10:05:49.-1;201.60000610;77.07487488;28.48649025
2017-11-01;10:05:50.-1;201.60000610;77.07487488;28.48648643
2017-11-01;10:05:51.-1;201.60000610;77.07487488;28.48648643
2017-11-01;10:05:52.-1;201.60000610;77.07487488;28.48648262
2017-11-01;10:05:53.-1;201.69999695;77.07491302;28.48645401
2017-11-01;10:05:54.-1;201.69999695;77.07491302;28.48647881
2017-11-01;10:05:55.-1;201.60000610;77.07491302;28.48648643
2017-11-01;10:05:56.-1;201.60000610;77.07491302;28.48648643
2017-11-01;10:05:57.-1;201.60000610;77.07491302;28.48648643
2017-11-01;10:05:58.-1;201.60000610;77.07491302;28.48648643
